time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-07T00:19:03.223Z,60.5154,-150.18,21.4,1.4,ml,,,,0.28,ak,ak0214gf8qr6,2021-04-07T00:22:31.387Z,"19 km W of Cooper Landing, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-07T00:18:31.340Z,35.6803333,-117.476,4.65,0.88,ml,9,148,0.0943,0.17,ci,ci39841360,2021-04-07T00:25:47.044Z,"12km SW of Searles Valley, CA",earthquake,0.64,1.02,0.118,11,reviewed,ci,ci
2021-04-07T00:16:20.460Z,37.9203,-118.0398,2,1.2,ml,10,194.56,0.14,0.06,nn,nn00804469,2021-04-07T00:19:43.179Z,"28 km N of Dyer, Nevada",earthquake,,9.5,,,automatic,nn,nn
2021-04-07T00:12:07.050Z,34.1533333,-117.5485,10.66,0.89,ml,22,87,0.0312,0.09,ci,ci39841352,2021-04-07T00:32:24.067Z,"4km NE of Rancho Cucamonga, CA",earthquake,0.2,0.24,0.191,12,reviewed,ci,ci
2021-04-07T00:04:23.720Z,33.5873333,-116.81,8.32,0.52,ml,21,68,0.03883,0.26,ci,ci39841336,2021-04-07T00:08:05.704Z,"13km WNW of Anza, CA",earthquake,0.54,0.89,0.117,13,automatic,ci,ci
2021-04-07T00:03:06.680Z,19.865,-155.810333333333,13.31,2.64,ml,42,149,,0.2,hv,hv72415197,2021-04-07T03:55:27.534Z,"8 km SSW of Waikoloa, Hawaii",earthquake,0.65,0.71,0.146695949657255,15,reviewed,hv,hv
2021-04-06T23:51:38.290Z,19.1714992523193,-155.484161376953,29.1900005340576,1.70000005,md,25,96,,0.180000007,hv,hv72415187,2021-04-06T23:54:46.380Z,"3 km S of Pāhala, Hawaii",earthquake,0.67,1.35000002,0.850000024,3,automatic,hv,hv
2021-04-06T23:22:11.587Z,65.3203,-162.5722,5.3,1.4,ml,,,,0.77,ak,ak0214f5f0yg,2021-04-06T23:34:46.834Z,"79 km WNW of Koyuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-06T23:18:50.690Z,35.0396667,-117.6863333,-0.82,1.95,ml,31,51,0.1054,0.2,ci,ci39841304,2021-04-07T00:25:02.007Z,"6km NW of Boron, CA",quarry blast,0.4,31.61,0.187,63,reviewed,ci,ci
2021-04-06T23:08:09.670Z,58.1903333333333,-155.284,6.28,-0.79,ml,5,229,,0.09,av,av91023623,2021-04-07T02:22:05.680Z,"84 km NW of Karluk, Alaska",earthquake,0.5,0.87,0.382280577749784,3,reviewed,av,av
